nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Nokia 150 Frodo Music HMD Garansi Resmi Indonesia,499.000,5,Terjual 1,,Hp,Nokia,Bliblii
Nokia 130 Frodo Music HMD Garansi Resmi Indonesia,419.000,,,,Hp,Nokia,Bliblii
Nokia 110 Fox 2024 New Garansi Resmi Promo Bandung,384.000,,,,Hp,Nokia,Bliblii
Handphone Jadul | HP Nokia 105 2024 Mini SIM - Garansi Resmi 1 Tahun,312.500,5,Terjual 18,,Hp,Nokia,Bliblii
Handphone | HP Nokia 105 2023 2022 New - Original Garansi TAM 1 Tahun,263.000,5,Terjual 4,Kota Surabaya & kota lainnya,Hp,Nokia,Bliblii
nokia 105,350.000,,Terjual 3,,Hp,Nokia,Bliblii
Nokia 105 Smartphone - Black,350.000,,,,Hp,Nokia,Bliblii
Pre-order,245.000,,,,Hp,Nokia,Bliblii
Another Smartphone & Candibar,1.500.000,,Terjual 2,,Hp,Nokia,Bliblii
"HP Nokia 110 Dual Sim Shaka RAM 4MB/ROM 32GB - Layar 1.77"" - Baterai 1000mAh - Garansi Resmi",348.000,,,,Hp,Nokia,Bliblii
Nokia 105 Leda (2023) Garansi resmi,243.000,"4,9",Terjual 399,,Hp,Nokia,Bliblii
NOKIA TAM 105 2022,255.000,5,Terjual 313,,Hp,Nokia,Bliblii
Nokia 105 - Hp Tombol New,300.000,,,,Hp,Nokia,Bliblii
nokia 105 barudaan segel hanphone nokia 105,450.000,5,Terjual 35,,Hp,Nokia,Bliblii
Nokia 105 2022 TAM Garansi Resmi,250.000,5,Terjual 50,,Hp,Nokia,Bliblii
nokia Nokia 150 ( 2020 ),500.000,,Terjual 5,,Hp,Nokia,Bliblii
nokia Nokia 150 ( 2020 ),505.000,,Terjual 5,,Hp,Nokia,Bliblii
nokia,250.000,,Terjual 144,,Hp,Nokia,Bliblii
NOKIA 105 AKTIVATOR GARANSI RESMI 1 NOKIA,475.000,,,,Hp,Nokia,Bliblii
nokia 105,300.000,,,,Hp,Nokia,Bliblii
Nokia 110,370.000,,,,Hp,Nokia,Bliblii
Nokia 5310,685.000,,Terjual 12,,Hp,Nokia,Bliblii
Nokia 105,289.000,,,,Hp,Nokia,Bliblii
nokia 105,299.999,,Terjual 14,,Hp,Nokia,Bliblii
Nokia 110,375.000,,Terjual 2,,Hp,Nokia,Bliblii
Nokia 150,499.000,,,,Hp,Nokia,Bliblii
Nokia 210,500.000,,,,Hp,Nokia,Bliblii
