nama_produk,harga,rating,jumlah_terjual,lokasi_penjual,kategori,brand,platform
Samsung Galaxy A26 5G 8/256 GB 8GB 256GB Smartphone Terbaru,4.874.025,5,Terjual 5,Kota Jakarta Pusat,Hp,Samsung,Bliblii
Samsung Galaxy A53 5G Smartphone [ Ram 8GB / Rom 128GB ] Garansi Resmi,4.415.040,,,Kota Jakarta Pusat,Hp,Samsung,Bliblii
"Samsung Galaxy S24 FE 5G 8/128GB 8/256GB 8/512GB Smartphone AI, Original, GARANSI SEIN",9.699.030,5,Terjual 6,Kota Bekasi,Hp,Samsung,Bliblii
"Samsung Galaxy S25 Basic, S25 Plus, S25 Ultra - Smartphone AI, Galaxy AI, Prosesor Snapdragon 8 Elite",12.999.000,5,Terjual 3,Kota Bandung,Hp,Samsung,Bliblii
Samsung Galaxy A26 5G [8/256] - Galaxy AI | Smartphone AI | Baterai 5000mAh,4.079.000,,,Kota Jakarta Utara,Hp,Samsung,Bliblii
Samsung Galaxy Z Fold4 [5G] Smartphone ( Ram 12GB / Rom 512GB ) Garansi Resmi,25.499.000,,,Kota Jakarta Pusat,Hp,Samsung,Bliblii
"Samsung Galaxy A36 5G 8/256GB 12/256GB Kamera 50 MP, Original, Garansi SEIN Layar 6,7 inci Super AMOLED Smartphone AI",5.528.030,5,Terjual 2,Kota Bekasi,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY AI TECHNOLOGY S25 ULTRA 5G 12GB/512GB SM-S938,21.499.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy A36 5G 8/256GB - | Snapdragon 6 Gen 3 | Handphone AI | Galaxy AI | 45W Fast Charging - Garansi resmi,5.799.000,,Terjual 1,Kota Bandung,Hp,Samsung,Bliblii
HP SAMSUNG GALAXY A55 5G 8GB/128GB SM-A556 (FREE UPGRADE 256GB),5.999.000,,,,Hp,Samsung,Bliblii
Samsung A03 Core 2/32GB (Warna Random),1.075.000,,Terjual 11,Kota Jakarta Barat,Hp,Samsung,Bliblii
Samsung A56 5G,6.299.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung zflip 7 24/256,10.600.000,,,Kota Batam,Hp,Samsung,Bliblii
Samsung A15 5G 8/256GB,3.199.000,,Terjual 1,Kota Batam,Hp,Samsung,Bliblii
"Samsung Galaxy S24 FE [8/128] - [Blue, Graphite, Gray]",9.995.000,5,Terjual 14,Kota Batam,Hp,Samsung,Bliblii
Pre-order,4.500.000,,Terjual 3,Kota Medan,Hp,Samsung,Bliblii
Samsung Galaxy A15 5G - 8GB/256GB,3.399.000,5,Terjual 2,Kota Batam,Hp,Samsung,Bliblii
Samsung Galaxy A56 5G 12/256 GB Garansi Resmi,6.299.000,5,Terjual 12,Kota Jakarta Barat,Hp,Samsung,Bliblii
Samsung Galaxy S24 FE 8/256GB,9.699.000,5,Terjual 2,Kota Batam,Hp,Samsung,Bliblii
Hp Samsung,1.500.000,,,,Hp,Samsung,Bliblii
samsung galaxy A13 ram 4/128gb baru garansi resmi hp samsung galaxy A13 ram 4gb internal 128gb,2.500.000,,Terjual 7,,Hp,Samsung,Bliblii
Samsung Galaxy S23 5G Smartphone 8GB/256GB,14.399.040,,,,Hp,Samsung,Bliblii
Samsung Keystone 3 B109 Handphone - Putih,549.000,,Terjual 3,,Hp,Samsung,Bliblii
Samsung S22 Ultra 12/256 GB Smartphone Android Original Garansi Resmi,17.499.000,,,,Hp,Samsung,Bliblii
Hp samsung galaxy A04 new garansi resmi,1.600.000,,Terjual 10,,Hp,Samsung,Bliblii
Samsung S22 8/128 GB & 8/256 GB Smartphone Android Original Garansi Resmi,11.999.000,,,,Hp,Samsung,Bliblii
Samsung Galaxy Z Fold3 5G 12/256 GB Smartphone Android Original Garansi Resmi,21.999.000,,,,Hp,Samsung,Bliblii
"Samsung Galaxy S24 FE 5G [8/512GB 8/256GB] Smartphone - Handphone Smartphone Galaxy S 24 5 G - Original, Garansi Resmi",9.398.330,5,Terjual 255,Kota Jakarta Selatan,Hp,Samsung,Bliblii
